asap1_id,Region,Rain,Drought,Country,Continent,name1_shr,km2_tot,km2_crop,km2_range,aezmedian
230,Lam Dong,18.0,0.0,Viet Nam,Asia,Lam Dong,9766.0,2756.0,18.0,
232,Taegu,12.0,0.0,South Korea,Asia,Taegu,471.0,7.0,1.0,
234,Lamu,10.0,7.0,Kenya,Africa,Lamu,6007.0,224.0,831.0,312.0
235,Vihiga,14.0,0.0,Kenya,Africa,Vihiga,561.0,498.0,29.0,324.0
236,Canindeyu,27.0,3.0,Paraguay,South America,Canindeyu,14917.0,8363.0,367.0,
238,Inchon,0.0,0.0,South Korea,Asia,Inchon,201.0,21.0,28.0,
239,Nouakchott,0.0,0.0,Mauritania,Africa,Nouakchott,266.0,0.0,81.0,311.0
240,Zachodnio,9.0,3.0,Poland,Europe,Zachodnio,22409.0,9561.0,7015.0,
241,Almaty City area,0.0,0.0,Kazakhstan,Asia,Almaty City area,282.0,25.0,89.0,
242,,,,,,Unit unavailable,980.0,597.0,169.0,
243,Vargas,0.0,0.0,Venezuela,South America,Vargas,970.0,2.0,86.0,
247,Nyamira,21.0,2.0,Kenya,Africa,Nyamira,645.0,603.0,11.0,324.0
248,Zona No Del.,9.0,7.0,Ecuador,South America,Zona No Del.,483.0,148.0,84.0,
249,Pool,15.0,0.0,Congo,Africa,Pool,34894.0,2906.0,20647.0,314.0
251,Florida,22.0,0.0,Uruguay,South America,Florida,10387.0,1917.0,9856.0,
252,Artigas,10.0,0.0,Uruguay,South America,Artigas,11665.0,1344.0,10725.0,
253,Da Nang City,20.0,2.0,Viet Nam,Asia,Da Nang City,968.0,211.0,6.0,
254,Cundinamarca,16.0,0.0,Colombia,South America,Cundinamarca,24449.0,5714.0,6195.0,
255,Amanat Al Asimah,0.0,4.0,Yemen,Asia,Amanat Al Asimah,390.0,56.0,0.0,
256,Phnom Penh,8.0,4.0,Cambodia,Asia,Phnom Penh,376.0,187.0,0.0,
257,West Area,0.0,0.0,Sierra Leone,Africa,West Area,677.0,81.0,56.0,313.0
258,Daman and Diu,7.0,5.0,India,Asia,Daman and Diu,516.0,475.0,40.0,
259,Montagnes,11.0,0.0,Côte d'Ivoire,Africa,Montagnes,30450.0,4877.0,614.0,314.0
261,Singburi,17.0,3.0,Thailand,Asia,Singburi,828.0,818.0,0.0,
262,Netherlands,4.0,0.0,Netherlands,Europe,Netherlands,34794.0,13893.0,16102.0,
263,Damietta,0.0,0.0,Egypt,Africa,Damietta,928.0,550.0,0.0,211.0
264,Cataluña,5.0,0.0,Spain,Europe,CataluÃ±a,32045.0,10546.0,3543.0,
265,Qatar,0.0,0.0,Qatar,Asia,Qatar,11538.0,63.0,0.0,
266,Balkh,9.0,7.0,Afghanistan,Asia,Balkh,16765.0,5936.0,6019.0,
267,Wardak,17.0,14.0,Afghanistan,Asia,Wardak,10587.0,700.0,10135.0,
268,Capital Region,0.0,0.0,Philippines,Asia,Capital Region,713.0,31.0,0.0,
269,Bamyan,11.0,1.0,Afghanistan,Asia,Bamyan,17894.0,386.0,17214.0,
270,Blida,15.0,2.0,Algeria,Africa,Blida,1482.0,556.0,802.0,213.0
271,Dakar,4.0,11.0,Senegal,Africa,Dakar,547.0,147.0,191.0,312.0
272,Berlin,0.0,0.0,Germany,Europe,Berlin,891.0,28.0,81.0,
273,Farah,2.0,3.0,Afghanistan,Asia,Farah,49112.0,2256.0,10313.0,
274,Faryab,18.0,0.0,Afghanistan,Asia,Faryab,20666.0,5681.0,13558.0,
275,Bordj Bou Arrer,7.0,3.0,Algeria,Africa,Bordj Bou Arrer,3936.0,656.0,3670.0,223.0
276,Malta,0.0,0.0,Malta,Europe,Malta,247.0,122.0,0.0,
277,Tucuman,9.0,0.0,Argentina,South America,Tucuman,22921.0,9064.0,1726.0,
278,Ghazni,9.0,11.0,Afghanistan,Asia,Ghazni,21678.0,3128.0,18707.0,
280,Ghor,17.0,1.0,Afghanistan,Asia,Ghor,37027.0,822.0,36443.0,
281,Kandahar,1.0,0.0,Afghanistan,Asia,Kandahar,54128.0,4610.0,13819.0,
282,Hirat,1.0,8.0,Afghanistan,Asia,Hirat,54400.0,8667.0,25227.0,
283,Jawzjan,9.0,12.0,Afghanistan,Asia,Jawzjan,11107.0,3506.0,2016.0,
284,Kabul,19.0,7.0,Afghanistan,Asia,Kabul,4659.0,990.0,3765.0,
285,Oslo,0.0,0.0,Norway,Europe,Oslo,442.0,13.0,0.0,
286,Samangan,7.0,2.0,Afghanistan,Asia,Samangan,12918.0,2989.0,11516.0,
287,Sar-e-Pul,8.0,4.0,Afghanistan,Asia,Sar-e-Pul,15254.0,3698.0,13388.0,
288,Zabul,6.0,0.0,Afghanistan,Asia,Zabul,17349.0,1211.0,15244.0,
289,Adrar,0.0,0.0,Algeria,Africa,Adrar,429931.0,146.0,455.0,211.0
290,Ain-Temouchent,11.0,4.0,Algeria,Africa,Ain-Temouchent,2365.0,2018.0,403.0,212.0
291,Conakry,0.0,0.0,Guinea,Africa,Conakry,294.0,28.0,0.0,313.0
292,Bishkek,0.0,0.0,Kyrgyzstan,Asia,Bishkek,216.0,56.0,19.0,
293,Saint Vincent,0.0,0.0,Saint Vincent,North America,Saint Vincent,345.0,0.0,16.0,
294,Bechar,0.0,0.0,Algeria,Africa,Bechar,160427.0,97.0,1605.0,211.0
295,Siliana,7.0,9.0,Tunisia,Africa,Siliana,4546.0,2890.0,2745.0,213.0
296,Tonga,0.0,0.0,Tonga,Oceania,Tonga,264.0,0.0,0.0,
297,Bejaia,11.0,6.0,Algeria,Africa,Bejaia,3204.0,269.0,2992.0,213.0
298,Kang-won-do,8.0,0.0,South Korea,Asia,Kang-won-do,18884.0,726.0,77.0,
